episode,reward,avg100_reward,deposited,mean_entropy,elapsed_sec,stay,north,east,south,west,random,home,prospect
185,1114.00,841.69,788,1.772,84.5,0.077,0.092,0.144,0.338,0.113,0.072,0.077,0.087
186,755.00,840.44,683,1.997,85.6,0.117,0.095,0.141,0.249,0.091,0.080,0.100,0.127
187,485.00,839.91,392,1.986,86.4,0.120,0.153,0.086,0.233,0.113,0.099,0.082,0.113
188,629.00,838.97,491,1.872,86.7,0.077,0.140,0.119,0.315,0.043,0.145,0.064,0.098
189,700.00,838.03,285,1.951,87.0,0.080,0.179,0.086,0.321,0.031,0.148,0.086,0.068
190,596.00,837.19,530,2.057,87.7,0.098,0.152,0.125,0.228,0.074,0.119,0.103,0.101
191,989.00,842.77,738,1.863,87.9,0.049,0.074,0.098,0.311,0.082,0.115,0.148,0.123
192,1324.00,846.98,1127,1.963,88.1,0.064,0.110,0.134,0.238,0.087,0.105,0.151,0.110
193,764.00,845.23,679,2.037,88.5,0.094,0.107,0.161,0.205,0.129,0.103,0.125,0.076
194,892.00,847.87,717,2.027,88.8,0.091,0.114,0.160,0.200,0.091,0.120,0.126,0.097
195,630.00,845.42,584,1.899,88.9,0.033,0.100,0.178,0.289,0.078,0.200,0.100,0.022
196,730.00,845.19,699,2.044,89.1,0.056,0.046,0.130,0.194,0.139,0.204,0.130,0.102
197,1455.00,850.05,1222,1.997,89.3,0.133,0.120,0.120,0.193,0.108,0.133,0.145,0.048
198,1380.00,858.95,1234,2.007,89.4,0.174,0.043,0.109,0.120,0.098,0.293,0.109,0.054
199,646.00,857.38,408,2.059,89.7,0.147,0.079,0.095,0.126,0.074,0.174,0.184,0.121
200,593.00,859.20,496,2.056,90.1,0.155,0.092,0.140,0.116,0.101,0.184,0.140,0.072
201,662.00,858.51,563,2.038,90.5,0.116,0.158,0.127,0.127,0.081,0.178,0.100,0.112
202,786.00,856.59,494,1.879,90.7,0.115,0.142,0.159,0.044,0.097,0.327,0.071,0.044
