episode,reward,avg100_reward,deposited,mean_entropy,elapsed_sec,stay,north,east,south,west,random,home
119,740.00,891.42,756,1.884,39.4,0.229,0.137,0.150,0.185,0.097,0.132,0.070
120,455.00,887.41,454,1.905,39.9,0.194,0.097,0.144,0.194,0.137,0.147,0.086
121,1144.00,892.16,785,1.839,40.1,0.138,0.092,0.085,0.215,0.215,0.200,0.054
122,446.00,885.27,410,1.849,40.4,0.127,0.172,0.231,0.149,0.142,0.127,0.052
123,469.00,879.48,387,1.881,41.0,0.181,0.107,0.207,0.188,0.147,0.119,0.052
124,525.00,877.54,535,1.894,41.5,0.131,0.119,0.199,0.228,0.160,0.101,0.062
125,1082.00,882.64,905,1.849,41.9,0.162,0.107,0.188,0.180,0.158,0.136,0.070
126,365.00,876.63,217,1.832,42.2,0.182,0.084,0.161,0.273,0.140,0.112,0.049
127,38.00,874.75,118,1.841,42.3,0.171,0.037,0.183,0.256,0.098,0.159,0.098
128,488.00,875.90,478,1.891,42.9,0.189,0.118,0.152,0.212,0.127,0.106,0.097
129,331.00,873.67,411,1.912,43.4,0.151,0.086,0.129,0.140,0.229,0.165,0.100
130,232.00,861.86,231,1.932,43.7,0.100,0.139,0.134,0.148,0.144,0.139,0.196
131,789.00,854.41,776,1.913,44.5,0.192,0.126,0.107,0.109,0.155,0.142,0.169
132,436.00,849.16,467,1.887,44.8,0.158,0.113,0.079,0.148,0.251,0.113,0.138
133,765.00,851.08,761,1.901,45.5,0.179,0.092,0.067,0.142,0.215,0.150,0.154
134,1241.00,853.38,1032,1.819,45.7,0.207,0.098,0.087,0.207,0.207,0.043,0.152
135,193.00,846.81,259,1.892,46.1,0.176,0.107,0.076,0.156,0.291,0.128,0.066
136,1088.00,840.82,960,1.894,46.3,0.162,0.152,0.086,0.086,0.238,0.200,0.076
137,246.00,826.40,214,1.935,46.6,0.121,0.168,0.126,0.140,0.168,0.182,0.093
138,893.00,826.45,783,1.936,46.8,0.160,0.176,0.160,0.143,0.126,0.126,0.109
139,1457.00,828.98,1045,1.926,47.0,0.132,0.163,0.140,0.171,0.155,0.147,0.093
140,925.00,831.54,612,1.918,47.3,0.154,0.113,0.131,0.145,0.186,0.176,0.095
141,469.00,831.18,396,1.927,47.9,0.139,0.180,0.172,0.099,0.129,0.192,0.089
142,585.00,832.30,577,1.921,48.9,0.138,0.146,0.227,0.110,0.144,0.134,0.102
143,156.00,828.77,151,1.487,49.0,0.431,0.062,0.000,0.046,0.015,0.077,0.369
144,31.00,816.45,31,1.446,49.2,0.417,0.042,0.028,0.028,0.056,0.056,0.375
145,897.00,814.95,896,1.553,49.3,0.444,0.111,0.009,0.034,0.077,0.077,0.248
146,499.00,810.77,455,1.659,49.6,0.342,0.134,0.020,0.040,0.081,0.154,0.228
147,156.00,803.93,141,1.754,49.7,0.224,0.092,0.020,0.061,0.051,0.184,0.367
148,615.00,801.01,593,1.876,50.0,0.163,0.099,0.070,0.110,0.151,0.180,0.227
149,514.00,800.75,582,1.916,50.5,0.183,0.087,0.136,0.122,0.165,0.116,0.191
150,460.00,800.60,428,1.880,51.1,0.208,0.065,0.186,0.111,0.129,0.135,0.167
151,1660.00,811.83,1337,1.762,51.2,0.237,0.052,0.247,0.041,0.082,0.155,0.186
152,476.00,814.22,504,1.897,52.0,0.159,0.089,0.173,0.077,0.137,0.179,0.187
153,331.00,814.48,311,1.893,52.5,0.102,0.122,0.202,0.088,0.108,0.182,0.196
154,542.00,817.01,483,1.668,52.7,0.018,0.053,0.274,0.080,0.035,0.221,0.319
155,116.00,816.65,153,1.840,52.8,0.058,0.047,0.209,0.128,0.140,0.221,0.198
156,981.00,818.93,952,1.877,53.1,0.074,0.096,0.222,0.126,0.067,0.200,0.215
157,500.00,816.29,540,1.778,53.2,0.053,0.106,0.160,0.053,0.043,0.319,0.266
158,1269.00,824.86,1275,1.655,53.3,0.000,0.088,0.191,0.000,0.029,0.221,0.471
159,285.00,816.51,325,1.896,53.6,0.130,0.107,0.166,0.065,0.077,0.213,0.243
160,897.00,809.40,786,1.871,53.8,0.092,0.092,0.154,0.092,0.085,0.254,0.231
161,806.00,815.27,806,1.873,54.1,0.122,0.097,0.138,0.107,0.122,0.235,0.179
162,979.00,806.96,825,1.623,54.2,0.000,0.015,0.075,0.015,0.134,0.522,0.239
163,306.00,799.24,337,1.920,54.5,0.142,0.114,0.176,0.091,0.165,0.182,0.131
164,596.00,771.66,585,1.899,54.9,0.153,0.109,0.113,0.097,0.184,0.172,0.172
165,473.00,762.78,477,1.907,55.9,0.120,0.092,0.131,0.094,0.176,0.209,0.178
166,141.00,743.28,143,1.867,56.3,0.228,0.080,0.095,0.133,0.141,0.156,0.167
167,192.00,732.89,155,1.894,56.7,0.133,0.076,0.072,0.223,0.167,0.159,0.170
168,182.00,728.19,169,1.810,56.8,0.284,0.026,0.103,0.147,0.112,0.155,0.172
169,683.00,727.33,683,1.592,57.0,0.539,0.026,0.026,0.118,0.066,0.066,0.158
170,693.00,722.99,656,1.856,57.7,0.243,0.059,0.057,0.144,0.121,0.192,0.184
